Season,Date,Home,Away,TEAM,#,Athlete,MP,SP,Ace,S Err,S Att,S Rtg,S %,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,Kill,A Err,Att,H %,B Solo,B Assist,B Total,Assist,A Att,Digs,Sent,Received,Violations,BHE
2023-2024,2024-02-02,USTA,Crandall,CU,13,Colby Rhese,1,3,2,1,6,2,0.833,0,0,0,0,0,-,8,3,18,0.278,0,1,1,0,0,3,2,-,-,0
2023-2024,2024-02-02,USTA,Crandall,CU,5,Austin Trites,1,3,0,0,0,-,-,5,6,3,2,16,1.88,0,0,0,-,0,0,0,1,5,5,2,-,-,1
2023-2024,2024-02-02,USTA,Crandall,CU,11,Mason Stefaniuk,1,3,0,0,3,1.67,1,0,0,0,0,0,-,0,0,0,-,0,0,0,2,2,1,1,-,-,2
2023-2024,2024-02-02,USTA,Crandall,CU,12,Noah MacDonald,1,3,0,3,4,0.5,0.25,0,0,0,0,0,-,0,1,9,-0.111,0,1,1,0,0,0,0,-,-,0
2023-2024,2024-02-02,USTA,Crandall,CU,10,Liam Rafferty,1,3,2,5,10,1.5,0.5,6,8,2,2,18,2,6,4,17,0.118,0,1,1,0,0,2,3,-,-,1
2023-2024,2024-02-02,USTA,Crandall,CU,10,Liam Rafferty,1,3,2,5,10,1.5,0.5,6,8,2,2,18,2,6,4,17,0.118,0,1,1,0,0,2,3,-,-,1
2023-2024,2024-02-02,USTA,Crandall,USTA,5,"Unknown , SA",1,3,1,1,11,1.55,0.909,0,0,0,1,1,0,7,1,12,0.5,0,0,0,0,1,3,3,-,-,0
2023-2024,2024-02-02,USTA,Crandall,USTA,4,"Unknown , SA",1,1,1,1,4,2,0.75,0,0,0,0,0,-,1,0,1,1,0,0,0,13,20,0,0,-,-,2
2023-2024,2024-02-02,USTA,Crandall,USTA,1,"Unknown , SA",1,1,1,0,3,2.33,1,0,0,0,0,0,-,0,0,0,-,0,1,1,0,0,0,0,-,-,0
2023-2024,2024-02-02,USTA,Crandall,USTA,15,"Unknown , SA",1,1,0,0,0,-,-,0,0,0,0,0,-,0,0,1,0,0,0,0,0,0,0,0,-,-,0
2023-2024,2024-02-02,USTA,Crandall,USTA,13,"Unknown , SA",1,2,0,3,5,0.6,0.4,0,0,0,0,0,-,2,0,4,0.5,0,1,1,0,1,0,0,-,-,0
2023-2024,2024-02-02,USTA,Crandall,USTA,11,"Unknown , SA",1,3,2,3,11,2.09,0.727,5,5,1,1,12,2.17,7,0,11,0.636,1,1,2,2,5,8,2,-,-,0
2023-2024,2024-02-02,USTA,Crandall,USTA,10,"Unknown , SA",1,3,0,4,13,1.23,0.692,2,0,1,0,3,2.33,8,1,15,0.467,0,0,0,0,2,3,1,-,-,0
2023-2024,2024-02-02,USTA,Crandall,USTA,9,"Unknown , SA",1,3,1,5,11,1.45,0.545,3,7,1,0,11,2.18,9,2,17,0.412,0,1,1,0,2,2,2,-,-,0
2023-2024,2024-02-02,USTA,Crandall,USTA,8,"Unknown , SA",1,1,0,0,0,-,-,0,0,0,0,0,-,0,0,2,0,0,0,0,0,0,0,0,-,-,0
2023-2024,2024-02-02,USTA,Crandall,USTA,7,"Unknown , SA",1,3,0,0,0,-,-,3,3,3,1,10,1.8,0,0,0,-,0,0,0,0,0,6,2,-,-,0
2023-2024,2024-02-02,USTA,Crandall,USTA,6,"Unknown , SA",1,2,0,1,8,1.38,0.875,0,0,0,0,0,-,0,0,1,0,0,0,0,19,33,5,0,-,-,0
2023-2024,2024-02-03,USTA,Crandall,CU,16,Payton Sanipass,1,2,0,1,4,1.5,0.75,0,0,0,0,0,-,0,1,2,-0.5,0,0,0,0,2,0,0,-,-,0
2023-2024,2024-02-03,USTA,Crandall,CU,7,Jack Hillier,1,3,1,2,9,1.44,0.778,2,8,4,6,20,1.3,7,4,15,0.2,0,2,2,1,1,1,1,-,-,0
2023-2024,2024-02-03,USTA,Crandall,CU,4,Bryce Stockford,1,3,0,1,10,1.2,0.9,0,0,0,1,1,0,3,1,8,0.25,0,2,2,0,1,0,0,-,-,0
2023-2024,2024-02-03,USTA,Crandall,CU,9,Sam Reeder,1,1,0,0,0,-,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0,3,0,1,-,-,0
2023-2024,2024-02-03,USTA,Crandall,CU,14,Sam Tingley,1,3,0,0,7,1.57,1,0,0,0,0,0,-,2,0,2,1,0,0,0,19,55,4,0,-,-,1
2023-2024,2024-02-03,USTA,Crandall,CU,13,Colby Rhese,1,3,0,4,5,0.6,0.2,0,0,0,0,0,-,4,5,13,-0.077,0,1,1,0,0,0,1,-,-,0
2023-2024,2024-02-03,USTA,Crandall,CU,5,Austin Trites,1,3,0,0,0,-,-,11,8,1,0,20,2.5,1,0,2,0.5,0,0,0,2,3,7,2,-,-,0
2023-2024,2024-02-03,USTA,Crandall,CU,11,Mason Stefaniuk,1,1,0,1,1,0,0,1,0,0,0,1,3,0,0,0,-,0,0,0,0,0,0,1,-,-,0
2023-2024,2024-02-03,USTA,Crandall,CU,12,Noah MacDonald,1,3,0,2,8,1.5,0.75,0,0,0,0,0,-,3,5,13,-0.154,0,2,2,0,0,0,0,-,-,0
2023-2024,2024-02-03,USTA,Crandall,CU,10,Liam Rafferty,1,3,0,1,8,1,0.875,6,7,3,1,17,2.06,3,3,12,0,0,1,1,0,1,2,0,-,-,0
2023-2024,2024-02-03,USTA,Crandall,USTA,5,"Unknown , SA",1,3,0,0,7,1.71,1,0,0,0,0,0,-,7,1,10,0.6,0,5,5,1,2,1,1,-,-,0
2023-2024,2024-02-03,USTA,Crandall,USTA,4,"Unknown , SA",1,1,1,1,6,1.83,0.833,0,0,0,0,0,-,1,0,2,0.5,0,0,0,10,14,1,0,-,-,0
2023-2024,2024-02-03,USTA,Crandall,USTA,15,"Unknown , SA",1,1,0,0,2,2.5,1,0,0,0,0,0,-,2,0,2,1,0,1,1,0,0,0,0,-,-,0
2023-2024,2024-02-03,USTA,Crandall,USTA,14,"Unknown , SA",1,1,2,1,7,2.14,0.857,0,0,0,0,0,-,1,1,2,0,0,1,1,0,0,0,0,-,-,0
2023-2024,2024-02-03,USTA,Crandall,USTA,13,"Unknown , SA",1,2,0,2,5,1.2,0.6,0,0,0,0,0,-,1,0,1,1,0,1,1,0,1,0,0,-,-,0
2023-2024,2024-02-03,USTA,Crandall,USTA,11,"Unknown , SA",1,3,2,4,15,1.47,0.733,11,3,3,1,18,2.33,6,5,15,0.067,0,4,4,1,1,5,1,-,-,0
2023-2024,2024-02-03,USTA,Crandall,USTA,10,"Unknown , SA",1,3,2,1,11,2,0.909,2,1,1,0,4,2.25,9,1,13,0.615,0,3,3,0,1,2,1,-,-,0
2023-2024,2024-02-03,USTA,Crandall,USTA,9,"Unknown , SA",1,3,2,4,10,1.6,0.6,3,3,0,0,6,2.5,5,3,17,0.118,0,0,0,0,5,4,1,-,-,0
2023-2024,2024-02-03,USTA,Crandall,USTA,8,"Unknown , SA",1,2,0,0,0,-,-,4,1,0,0,5,2.8,0,0,0,-,0,0,0,0,0,4,0,-,-,0
2023-2024,2024-02-03,USTA,Crandall,USTA,7,"Unknown , SA",1,3,0,0,0,-,-,4,0,3,0,7,2.14,0,0,0,-,0,0,0,0,1,1,1,-,-,0
2023-2024,2024-02-03,USTA,Crandall,USTA,6,"Unknown , SA",1,2,1,0,10,1.8,1,0,0,0,0,0,-,1,1,3,0,0,1,1,21,39,2,0,-,-,1
2023-2024,2024-02-10,Crandall,Holland,CU,16,Payton Sanipass,1,3,0,1,3,1.67,0.667,0,0,0,0,0,-,1,1,7,0,0,0,0,0,0,1,0,-,-,0
2023-2024,2024-02-10,Crandall,Holland,CU,8,Shane Huggard,1,3,1,0,15,2.07,1,1,8,0,1,10,1.9,3,3,17,0,1,2,3,2,7,8,3,-,-,0
2023-2024,2024-02-10,Crandall,Holland,CU,7,Jack Hillier,1,2,0,0,1,2,1,0,2,1,0,3,1.67,2,1,6,0.167,0,0,0,0,0,0,1,-,-,0
2023-2024,2024-02-10,Crandall,Holland,CU,4,Bryce Stockford,1,3,0,3,7,1,0.571,0,0,0,0,0,-,1,2,10,-0.1,1,4,5,0,0,3,0,-,-,1
2023-2024,2024-02-10,Crandall,Holland,CU,14,Sam Tingley,1,3,0,0,6,1.83,1,0,0,0,0,0,-,0,1,2,-0.5,0,0,0,13,60,4,1,-,-,1
2023-2024,2024-02-10,Crandall,Holland,CU,13,Colby Rhese,1,3,0,1,3,1.67,0.667,0,0,0,0,0,-,5,7,17,-0.118,0,2,2,0,1,2,0,-,-,0
2023-2024,2024-02-10,Crandall,Holland,CU,17,Miguel Gionet,1,1,0,1,1,0,0,0,0,0,0,0,-,0,1,1,-1,0,0,0,0,0,0,0,-,-,0
2023-2024,2024-02-10,Crandall,Holland,CU,5,Austin Trites,1,3,0,0,0,-,-,6,16,4,3,29,1.86,0,0,1,0,0,0,0,0,4,6,2,-,-,0
2023-2024,2024-02-10,Crandall,Holland,CU,11,Mason Stefaniuk,1,2,0,1,2,1.5,0.5,0,0,0,0,0,-,0,1,1,-1,0,0,0,3,10,0,0,-,-,0
2023-2024,2024-02-10,Crandall,Holland,CU,12,Noah MacDonald,1,3,0,1,3,0.67,0.667,1,0,0,1,2,1.5,1,3,8,-0.25,0,1,1,0,0,1,0,-,-,0
2023-2024,2024-02-10,Crandall,Holland,CU,10,Liam Rafferty,1,3,0,0,6,1.67,1,2,9,3,0,14,1.93,4,4,14,0,0,1,1,0,2,3,2,-,-,0
2023-2024,2024-02-10,Crandall,Holland,CU,15,James Jeffrey,1,1,0,0,1,2,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,-,-,0
2023-2024,2024-02-10,USTA,Crandall,USTA,14,"Unknown , HC",1,3,2,3,10,1.7,0.7,0,0,0,0,0,-,9,3,22,0.273,0,1,1,0,1,7,0,-,-,2
2023-2024,2024-02-10,USTA,Crandall,USTA,13,"Unknown , HC",1,1,0,1,1,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,1,5,1,0,-,-,0
2023-2024,2024-02-10,USTA,Crandall,USTA,11,"Unknown , HC",1,3,2,1,11,2.09,0.909,0,0,0,0,0,-,8,0,11,0.727,0,0,0,0,1,1,0,-,-,0
2023-2024,2024-02-10,USTA,Crandall,USTA,10,"Unknown , HC",1,1,1,0,5,2.8,1,1,1,3,0,5,1.6,2,0,6,0.333,0,0,0,0,1,3,2,-,-,0
2023-2024,2024-02-10,USTA,Crandall,USTA,9,"Unknown , HC",1,2,0,1,5,1.6,0.8,0,0,0,0,0,-,1,1,5,0,0,3,3,0,0,0,0,-,-,0
2023-2024,2024-02-10,USTA,Crandall,USTA,8,"Unknown , HC",1,2,1,2,9,2,0.778,1,7,1,0,9,2,3,3,10,0,1,0,1,0,0,0,1,-,-,0
2023-2024,2024-02-10,USTA,Crandall,USTA,7,"Unknown , HC",1,1,1,1,3,2.33,0.667,0,0,0,0,0,-,0,2,3,-0.667,0,0,0,0,2,2,0,-,-,0
2023-2024,2024-02-10,USTA,Crandall,USTA,6,"Unknown , HC",1,3,0,0,8,1.88,1,5,8,1,0,14,2.29,6,1,12,0.417,1,1,2,0,2,3,2,-,-,0
2023-2024,2024-02-10,USTA,Crandall,USTA,5,"Unknown , HC",1,2,0,0,7,1.86,1,3,3,1,1,8,2,2,2,8,0,0,1,1,2,3,9,0,-,-,0
2023-2024,2024-02-10,USTA,Crandall,USTA,3,"Unknown , HC",1,3,0,0,0,-,-,0,4,0,0,4,2,0,0,1,0,0,0,0,3,7,3,4,-,-,0
2023-2024,2024-02-10,USTA,Crandall,USTA,1,"Unknown , HC",1,3,1,2,12,1.67,0.833,0,0,0,0,0,-,1,0,2,0.5,0,0,0,25,53,7,1,-,-,0
2023-2024,2024-02-10,USTA,Crandall,USTA,16,"Unknown , HC",1,1,0,1,3,1.33,0.667,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,CU,16,Payton Sanipass,1,4,0,1,5,1.2,0.8,0,0,0,0,0,-,4,11,23,-0.304,0,1,1,1,1,1,1,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,CU,8,Shane Huggard,1,4,1,3,14,1.5,0.786,11,6,3,0,20,2.4,8,5,29,0.103,1,0,1,0,6,8,5,-,-,1
2023-2024,2024-02-11,UNBSJ,Crandall,CU,7,Jack Hillier,1,3,0,1,6,2.17,0.833,0,4,4,0,8,1.5,8,3,15,0.333,0,0,0,0,2,4,2,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,CU,4,Bryce Stockford,1,4,2,2,15,1.8,0.867,0,0,0,0,0,-,2,1,8,0.125,1,1,2,0,1,1,1,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,CU,14,Sam Tingley,1,4,1,2,14,1.86,0.857,0,0,0,0,0,-,0,1,2,-0.5,0,0,0,22,85,11,1,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,CU,13,Colby Rhese,1,3,0,1,3,0.67,0.667,0,0,0,0,0,-,1,8,17,-0.412,0,1,1,1,1,2,2,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,CU,5,Austin Trites,1,4,0,0,0,-,-,20,8,9,6,43,1.98,0,0,1,0,0,0,0,1,9,9,5,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,CU,11,Mason Stefaniuk,1,1,0,1,1,0,0,0,0,0,0,0,-,0,0,1,0,0,0,0,3,8,0,0,-,-,1
2023-2024,2024-02-11,UNBSJ,Crandall,CU,12,Noah MacDonald,1,3,4,3,16,2.31,0.813,0,0,0,0,0,-,3,2,11,0.091,1,0,1,1,1,4,0,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,CU,10,Liam Rafferty,1,1,1,0,4,2.5,1,0,0,0,0,0,-,2,1,4,0.25,0,1,1,0,0,0,0,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,CU,15,James Jeffrey,1,2,0,2,3,0.67,0.333,4,2,1,0,7,2.43,2,0,6,0.333,0,0,0,0,0,3,0,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,1,"Unknown , UNB",1,4,1,3,20,1.6,0.85,0,0,0,0,0,-,3,2,7,0.143,1,0,1,33,78,10,1,-,-,1
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,2,"Unknown , UNB",1,2,0,0,5,1.8,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,1,1,0,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,3,"Unknown , UNB",1,2,0,2,9,1.11,0.778,0,0,0,0,0,-,2,2,7,0,1,2,3,1,1,2,1,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,6,"Unknown , UNB",1,3,0,1,5,1.2,0.8,3,1,7,2,13,1.38,7,7,18,0,1,3,4,0,1,4,1,-,-,1
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,7,"Unknown , UNB",1,4,4,3,17,2.24,0.824,4,7,5,1,17,1.82,15,6,32,0.281,0,2,2,2,3,5,2,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,9,"Unknown , UNB",1,2,1,2,9,1.22,0.778,0,0,0,0,0,-,2,1,8,0.125,0,1,1,1,1,2,0,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,11,"Unknown , UNB",1,4,0,4,6,1,0.333,0,0,0,0,0,-,3,1,6,0.333,0,4,4,0,2,0,0,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,12,"Unknown , UNB",1,4,2,4,21,1.71,0.81,6,4,2,1,13,2.15,8,0,26,0.308,0,1,1,1,2,6,1,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,13,"Unknown , UNB",1,4,0,0,0,-,-,10,2,5,2,19,2.05,0,0,1,0,0,0,0,1,10,9,1,-,-,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,16,"Unknown , UNB",1,2,0,0,7,1.43,1,0,0,0,0,0,-,1,0,2,0.5,0,1,1,1,4,1,1,-,-,0
2023-2024,2024-02-17,Crandall,USTA,CU,16,Payton Sanipass,1,2,0,0,0,-,-,0,0,0,0,0,-,1,1,6,0,0,2,2,0,0,0,0,-,-,0
2023-2024,2024-02-17,Crandall,USTA,CU,8,Shane Huggard,1,3,3,2,15,2.07,0.867,5,5,4,0,14,2.07,8,5,29,0.103,0,2,2,0,2,6,3,-,-,0
2023-2024,2024-02-17,Crandall,USTA,CU,7,Jack Hillier,1,2,0,2,5,1,0.6,1,1,1,1,4,1.5,3,0,7,0.429,0,0,0,0,0,3,1,-,-,0
2023-2024,2024-02-17,Crandall,USTA,CU,4,Bryce Stockford,1,3,1,3,9,1.33,0.667,0,0,0,0,0,-,2,0,7,0.286,0,3,3,1,1,0,0,-,-,0
2023-2024,2024-02-17,Crandall,USTA,CU,14,Sam Tingley,1,3,0,3,12,1.67,0.75,0,0,0,0,0,-,0,0,1,0,0,0,0,19,57,8,1,-,-,1
2023-2024,2024-02-17,Crandall,USTA,CU,13,Colby Rhese,1,3,1,1,9,1.89,0.889,0,0,0,0,0,-,9,3,24,0.25,0,0,0,0,0,2,1,-,-,0
2023-2024,2024-02-17,Crandall,USTA,CU,5,Austin Trites,1,3,0,0,0,-,-,12,17,3,2,34,2.15,0,0,1,0,0,0,0,2,10,9,2,-,-,0
2023-2024,2024-02-17,Crandall,USTA,CU,11,Mason Stefaniuk,1,2,0,1,2,0.5,0.5,0,0,0,0,0,-,0,0,0,-,0,0,0,1,13,0,0,-,-,0
2023-2024,2024-02-17,Crandall,USTA,CU,12,Noah MacDonald,1,3,2,4,12,1.33,0.667,0,0,0,1,1,0,0,1,6,-0.167,1,0,1,0,1,3,2,-,-,0
2023-2024,2024-02-17,Crandall,USTA,CU,10,Liam Rafferty,1,2,0,1,4,1.75,0.75,2,0,3,0,5,1.8,2,4,7,-0.286,0,0,0,0,0,2,0,-,-,1
2023-2024,2024-02-17,Crandall,USTA,USTA,5,"Unknown , UST",1,3,0,2,9,1.22,0.778,0,0,0,0,0,-,8,3,19,0.263,1,1,2,0,3,3,2,-,-,0
2023-2024,2024-02-17,Crandall,USTA,USTA,6,"Unknown , UST",1,3,0,2,14,1.29,0.857,0,0,0,0,0,-,0,1,2,-0.5,0,0,0,33,71,3,0,-,-,1
2023-2024,2024-02-17,Crandall,USTA,USTA,7,"Unknown , UST",1,3,0,0,0,-,-,6,6,3,2,17,1.94,0,0,0,-,0,0,0,0,1,5,1,-,-,0
2023-2024,2024-02-17,Crandall,USTA,USTA,8,"Unknown , UST",1,1,0,0,0,-,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0,1,0,0,-,-,0
2023-2024,2024-02-17,Crandall,USTA,USTA,9,"Unknown , UST",1,2,0,4,5,0.4,0.2,5,4,2,2,13,1.92,4,3,18,0.056,0,0,0,0,1,5,3,-,-,0
2023-2024,2024-02-17,Crandall,USTA,USTA,10,"Unknown , UST",1,1,0,0,3,2.67,1,0,1,1,0,2,1.5,2,2,5,0,0,0,0,0,0,0,0,-,-,0
2023-2024,2024-02-17,Crandall,USTA,USTA,11,"Unknown , UST",1,3,2,2,20,2,0.9,2,3,1,0,6,2.17,14,5,29,0.31,0,0,0,1,3,12,1,-,-,0
2023-2024,2024-02-17,Crandall,USTA,USTA,12,"Unknown , UST",1,3,5,2,12,2.42,0.833,4,3,3,0,10,2.1,9,1,16,0.5,0,0,0,1,5,15,1,-,-,0
2023-2024,2024-02-17,Crandall,USTA,USTA,13,"Unknown , UST",1,2,0,3,9,1.22,0.667,0,0,0,0,0,-,1,2,4,-0.25,0,0,0,1,2,1,1,-,-,0
2023-2024,2024-02-17,Crandall,USTA,USTA,1,"Unknown , UST",1,1,1,1,6,2,0.833,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,0
2023-2024,2024-02-17,Crandall,USTA,USTA,4,"Unknown , UST",1,1,0,0,0,-,-,0,0,0,0,0,-,0,0,0,-,0,1,1,1,2,0,0,-,-,0
2023-2024,2024-09-28,Crandall,DAL AC,USTA,16,Payton Sanipass,1,4,1,2,12,1.67,0.833,0,0,0,0,0,-,4,4,15,0,0,0,0,0,0,4,4,-,-,0
