Season,Date,Home,Away,Team,By Rotation,MP,S Pts W,S Pts L,S W %,SR Pts W,SR Pts L,SO %,Ace,S Err,S Att,S Rtg,S %,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,Kill,A Err,Att,H %,B Solo,B Assist,B Total,Assist,A Att,Digs,Sent,Received,Violations,BHE
2023-2024,2024-01-20,STU,Crandall,Crandall,4,1,3,5,0.375,5,3,0.625,1,3,8,1.25,0.625,1,0,2,2,5,1,2,0,6,0.333,0,1,1,2,6,2,0,1,0,0
2023-2024,2024-01-20,STU,Crandall,Crandall,5,1,2,5,0.286,5,6,0.455,0,3,7,1,0.571,1,1,4,2,8,1.13,2,5,12,-0.25,0,0,0,2,12,3,1,2,0,0
2023-2024,2024-01-20,STU,Crandall,Crandall,6,1,1,5,0.167,4,13,0.235,1,2,6,1.17,0.667,7,1,5,3,16,1.75,3,7,18,-0.222,0,0,0,3,18,5,1,2,0,1
2023-2024,2024-01-20,STU,Crandall,STU,1,1,6,5,0.545,6,2,0.75,2,2,11,2,0.818,3,0,2,1,6,1.83,6,0,9,0.667,1,0,1,6,9,3,0,1,0,0
2023-2024,2024-01-20,STU,Crandall,STU,2,1,9,5,0.643,5,0,1,0,3,14,1.14,0.786,1,1,1,0,3,2,3,1,9,0.222,3,0,3,3,8,3,0,1,0,0
2023-2024,2024-01-20,STU,Crandall,STU,3,1,5,5,0.5,5,3,0.625,1,0,10,1.7,1,1,1,1,2,5,1.2,1,1,5,0,1,0,1,1,5,2,1,0,0,0
2023-2024,2024-01-20,STU,Crandall,STU,4,1,5,5,0.5,5,3,0.625,1,3,10,2,0.7,3,0,2,0,5,2.2,3,2,11,0.091,0,0,0,3,9,4,1,0,0,0
2023-2024,2024-01-20,STU,Crandall,STU,5,1,3,5,0.375,5,2,0.714,2,3,8,2,0.625,3,1,0,1,5,2.2,2,1,5,0.2,0,0,0,2,5,2,2,0,0,0
2023-2024,2024-01-20,STU,Crandall,STU,6,1,16,5,0.762,5,2,0.714,4,2,21,2.24,0.905,2,0,1,1,4,1.75,4,2,14,0.143,5,0,5,3,13,9,3,0,0,0
2023-2024,2024-01-27,Crandall,STU,Crandall,1,1,5,7,0.417,7,6,0.538,2,4,12,1.67,0.667,5,2,2,2,11,1.91,4,3,11,0.091,0,0,0,4,11,1,1,1,0,0
2023-2024,2024-01-27,Crandall,STU,Crandall,2,1,7,7,0.5,7,11,0.389,2,5,14,1.57,0.643,3,2,7,3,15,1.33,4,1,12,0.25,1,1,2,3,11,3,4,1,0,1
2023-2024,2024-01-27,Crandall,STU,Crandall,3,1,4,7,0.364,7,6,0.538,2,4,11,1.45,0.636,5,5,0,0,10,2.5,4,6,12,-0.167,0,1,1,4,12,3,0,0,0,1
2023-2024,2024-01-27,Crandall,STU,Crandall,4,1,4,7,0.364,5,2,0.714,2,2,11,2.18,0.818,1,1,0,1,3,1.67,2,1,4,0.25,0,0,0,2,4,2,0,0,0,0
2023-2024,2024-01-27,Crandall,STU,Crandall,5,1,2,4,0.333,5,8,0.385,0,1,6,1.5,0.833,8,2,2,0,12,2.5,4,6,20,-0.1,0,0,0,4,20,7,2,1,0,1
2023-2024,2024-01-27,Crandall,STU,Crandall,6,1,0,5,0,5,6,0.455,0,2,5,1.2,0.6,2,2,1,3,8,1.38,2,1,10,0.1,0,0,0,2,10,3,2,2,0,0
2023-2024,2024-01-27,Crandall,STU,STU,1,1,7,6,0.538,8,8,0.5,3,3,13,2,0.769,2,6,1,2,11,1.73,5,6,16,-0.063,1,0,1,5,13,5,1,0,0,0
2023-2024,2024-01-27,Crandall,STU,STU,2,1,6,7,0.462,7,5,0.583,2,2,13,1.92,0.846,1,3,1,3,8,1.25,5,2,7,0.429,0,0,0,5,6,1,0,0,0,0
2023-2024,2024-01-27,Crandall,STU,STU,3,1,11,6,0.647,6,4,0.6,2,3,17,1.88,0.824,2,2,0,2,6,1.67,5,1,12,0.333,1,0,1,5,10,5,0,0,1,0
2023-2024,2024-01-27,Crandall,STU,STU,4,1,7,7,0.5,6,5,0.545,0,2,13,1.38,0.846,3,1,4,1,9,1.67,4,3,16,0.063,0,0,0,4,15,7,1,1,1,1
2023-2024,2024-01-27,Crandall,STU,STU,5,1,1,5,0.167,5,0,1,1,4,6,0.83,0.333,0,1,1,0,2,1.5,2,0,2,1,0,1,1,2,2,0,0,0,0,0
2023-2024,2024-01-27,Crandall,STU,STU,6,1,7,5,0.583,5,0,1,1,1,12,1.5,0.917,2,1,2,0,5,2,6,0,11,0.545,0,1,1,6,11,6,3,1,0,0
2023-2024,2024-01-28,Crandall,Holland,Crandall,1,1,3,8,0.273,7,13,0.35,0,2,11,1.27,0.818,5,4,10,0,19,1.74,4,4,31,0,0,1,1,4,30,11,6,2,0,1
2023-2024,2024-01-28,Crandall,Holland,Crandall,2,1,3,7,0.3,7,5,0.583,1,2,10,1.4,0.8,3,4,1,0,8,2.25,3,2,11,0.091,1,0,1,3,10,3,1,0,0,0
2023-2024,2024-01-28,Crandall,Holland,Crandall,3,1,3,7,0.3,6,3,0.667,0,3,10,1.8,0.7,1,2,1,2,6,1.33,3,0,6,0.5,0,0,0,3,6,3,1,0,0,0
2023-2024,2024-01-28,Crandall,Holland,Crandall,4,1,2,6,0.25,6,5,0.545,0,3,8,1.13,0.625,6,1,3,0,10,2.3,3,4,12,-0.083,1,0,1,3,12,1,0,0,0,0
2023-2024,2024-01-28,Crandall,Holland,Crandall,5,1,1,6,0.143,6,7,0.462,1,3,7,1.57,0.571,4,2,3,2,11,1.73,4,4,12,0,0,0,0,4,12,4,1,1,0,1
2023-2024,2024-01-28,Crandall,Holland,Crandall,6,1,4,6,0.4,6,2,0.75,0,1,10,2,0.9,1,3,1,1,6,1.67,5,2,16,0.188,1,0,1,5,14,7,2,2,0,0
2023-2024,2024-01-28,Crandall,Holland,Holland,1,1,8,6,0.571,8,2,0.8,1,2,14,2.21,0.857,6,1,1,0,8,2.63,9,1,19,0.421,0,0,0,9,19,10,2,2,0,0
2023-2024,2024-01-28,Crandall,Holland,Holland,2,1,7,7,0.5,7,3,0.7,0,2,14,1.71,0.857,3,3,0,1,7,2.14,6,3,15,0.2,0,0,0,6,14,8,3,1,0,0
2023-2024,2024-01-28,Crandall,Holland,Holland,3,1,5,7,0.417,7,4,0.636,0,4,12,1.25,0.667,0,5,4,0,9,1.56,8,3,17,0.294,0,0,0,7,16,7,2,0,0,0
2023-2024,2024-01-28,Crandall,Holland,Holland,4,1,2,6,0.25,6,1,0.857,2,3,8,1.63,0.625,1,3,0,0,4,2.25,3,2,5,0.2,0,0,0,3,5,1,0,0,0,0
2023-2024,2024-01-28,Crandall,Holland,Holland,5,1,8,6,0.571,6,4,0.6,0,0,14,1.86,1,1,3,3,1,8,1.5,4,4,16,0,0,1,1,4,15,8,3,1,0,0
2023-2024,2024-01-28,Crandall,Holland,Holland,6,1,5,6,0.455,6,2,0.75,2,2,11,1.82,0.818,1,4,1,0,6,2,4,2,14,0.143,0,1,1,4,14,8,2,1,0,0
2023-2024,2024-02-02,USTA,Crandall,Crandall,1,1,3,8,0.273,8,2,0.8,2,2,11,1.91,0.818,3,2,1,0,6,2.33,4,1,7,0.429,0,1,1,4,6,4,3,0,0,1
2023-2024,2024-02-02,USTA,Crandall,Crandall,2,1,2,8,0.2,6,2,0.75,1,3,10,1.5,0.7,0,2,2,1,5,1.2,2,0,9,0.222,0,0,0,2,8,5,1,2,0,2
2023-2024,2024-02-02,USTA,Crandall,Crandall,3,1,2,6,0.25,6,5,0.545,1,0,8,1.75,1,2,6,0,0,8,2.25,3,4,11,-0.091,0,1,1,3,10,2,1,0,0,1
2023-2024,2024-02-02,USTA,Crandall,Crandall,4,1,2,6,0.25,6,10,0.375,1,2,8,1.75,0.75,6,4,1,3,14,1.93,5,2,15,0.2,0,0,0,5,14,2,1,3,0,1
2023-2024,2024-02-02,USTA,Crandall,Crandall,5,1,1,6,0.143,6,6,0.5,0,3,7,1,0.571,4,3,1,2,10,1.9,3,1,8,0.25,0,1,1,3,8,3,3,1,0,1
2023-2024,2024-02-02,USTA,Crandall,Crandall,6,1,3,6,0.333,5,4,0.556,2,2,9,2,0.778,0,2,3,0,5,1.4,2,1,7,0.143,0,1,1,2,7,5,3,1,0,1
2023-2024,2024-02-02,USTA,Crandall,USTA,1,1,4,5,0.444,8,3,0.727,0,4,9,1.44,0.556,3,2,2,2,9,1.67,6,1,15,0.333,0,1,1,6,15,4,1,3,0,0
2023-2024,2024-02-02,USTA,Crandall,USTA,2,1,2,8,0.2,8,2,0.8,0,4,10,1,0.6,2,3,1,1,7,1.86,6,0,7,0.857,0,0,0,6,7,0,0,2,0,1
2023-2024,2024-02-02,USTA,Crandall,USTA,3,1,2,6,0.25,6,2,0.75,1,3,8,1.75,0.625,5,1,1,1,8,2.25,5,1,13,0.308,0,0,0,5,13,8,4,2,0,1
2023-2024,2024-02-02,USTA,Crandall,USTA,4,1,5,6,0.455,6,2,0.75,0,3,11,1.27,0.727,1,3,1,1,6,1.67,5,0,7,0.714,0,1,1,5,7,3,1,0,0,0
2023-2024,2024-02-02,USTA,Crandall,USTA,5,1,10,6,0.625,6,1,0.857,3,2,16,1.81,0.875,1,3,0,0,4,2.25,6,1,10,0.5,1,0,1,6,10,6,2,2,0,0
2023-2024,2024-02-02,USTA,Crandall,USTA,6,1,6,6,0.5,6,3,0.667,2,2,12,1.75,0.833,1,3,1,2,7,1.43,6,1,12,0.417,0,0,0,6,12,6,2,2,0,0
2023-2024,2024-02-03,USTA,Crandall,Crandall,1,1,0,7,0,7,5,0.583,0,0,7,1.57,1,4,3,0,1,8,2.25,2,3,9,-0.111,0,0,0,2,9,2,1,0,0,0
2023-2024,2024-02-03,USTA,Crandall,Crandall,2,1,2,7,0.222,7,6,0.538,0,2,9,0.89,0.778,2,6,0,2,10,1.8,5,2,10,0.3,0,1,1,5,10,3,1,0,0,1
2023-2024,2024-02-03,USTA,Crandall,Crandall,3,1,3,7,0.3,6,3,0.667,0,1,10,1.2,0.9,2,5,1,1,9,1.89,5,3,15,0.133,0,0,0,4,14,2,0,2,0,0
2023-2024,2024-02-03,USTA,Crandall,Crandall,4,1,3,6,0.333,6,8,0.429,0,5,9,1,0.444,8,3,1,1,13,2.38,6,4,14,0.143,0,2,2,6,14,3,1,0,0,0
2023-2024,2024-02-03,USTA,Crandall,Crandall,5,1,3,6,0.333,6,6,0.5,1,2,9,1.44,0.778,1,4,2,1,8,1.63,3,3,9,0,0,0,0,3,9,3,1,0,0,0
2023-2024,2024-02-03,USTA,Crandall,Crandall,6,1,2,6,0.25,5,8,0.385,0,2,8,1.5,0.75,3,2,4,3,12,1.42,2,4,10,-0.2,0,1,1,2,10,1,2,2,0,0
2023-2024,2024-02-03,USTA,Crandall,USTA,1,1,7,6,0.538,8,0,1,2,3,13,1.85,0.769,5,3,0,0,8,2.63,9,2,14,0.5,0,2,2,9,13,4,1,1,0,0
2023-2024,2024-02-03,USTA,Crandall,USTA,2,1,8,7,0.533,7,5,0.583,2,4,15,1.47,0.733,7,1,1,0,9,2.67,5,3,13,0.154,0,2,2,5,13,4,2,1,0,0
2023-2024,2024-02-03,USTA,Crandall,USTA,3,1,6,6,0.5,6,1,0.857,2,1,12,2,0.917,3,1,1,0,5,2.4,4,0,7,0.571,0,1,1,4,7,2,1,1,0,0
2023-2024,2024-02-03,USTA,Crandall,USTA,4,1,1,6,0.143,6,3,0.667,0,0,7,1.71,1,2,1,2,1,6,1.67,3,4,11,-0.091,0,0,0,3,11,4,0,0,0,0
2023-2024,2024-02-03,USTA,Crandall,USTA,5,1,10,6,0.625,6,2,0.75,2,1,16,1.81,0.938,3,1,1,0,5,2.4,6,1,12,0.417,0,2,2,6,12,5,1,1,0,0
2023-2024,2024-02-03,USTA,Crandall,USTA,6,1,4,6,0.4,6,2,0.75,2,4,10,1.6,0.6,4,1,2,0,7,2.29,6,2,8,0.5,0,1,1,6,8,1,0,1,0,1
2023-2024,2024-02-10,Crandall,Holland,Crandall,1,1,3,5,0.375,6,6,0.5,0,1,8,1.75,0.875,2,7,0,1,10,2,4,5,15,-0.067,0,0,0,4,14,3,0,1,0,0
2023-2024,2024-02-10,Crandall,Holland,Crandall,2,1,9,6,0.6,6,9,0.4,1,0,15,2.07,1,4,9,2,0,15,2.13,5,6,27,-0.037,1,4,5,5,27,9,3,3,1,1
2023-2024,2024-02-10,Crandall,Holland,Crandall,3,1,1,6,0.143,6,10,0.375,0,3,7,1,0.571,1,9,1,3,14,1.57,4,4,13,0,0,0,0,4,13,4,2,1,0,1
2023-2024,2024-02-10,Crandall,Holland,Crandall,4,1,0,6,0,5,6,0.455,0,2,6,1.67,0.667,2,2,1,2,7,1.57,1,2,8,-0.125,0,0,0,1,8,5,3,1,0,0
2023-2024,2024-02-10,Crandall,Holland,Crandall,5,1,3,5,0.375,4,10,0.286,0,0,8,1.75,1,0,6,4,2,12,1.33,2,5,16,-0.188,1,1,2,2,16,4,0,1,0,0
2023-2024,2024-02-10,Crandall,Holland,Crandall,6,1,0,4,0,4,2,0.667,0,2,4,0.5,0.5,1,2,1,0,4,2,2,2,6,0,0,0,0,2,6,3,1,0,0,0
2023-2024,2024-02-10,Crandall,Holland,Holland,1,1,4,6,0.4,7,8,0.467,1,2,10,1.9,0.8,4,8,2,1,15,2,5,7,18,-0.111,0,0,0,5,17,3,1,0,0,0
2023-2024,2024-02-10,Crandall,Holland,Holland,2,1,12,6,0.667,6,2,0.75,0,1,18,1.67,0.944,0,5,0,0,5,2,6,0,15,0.4,0,0,0,6,14,9,2,1,0,1
2023-2024,2024-02-10,Crandall,Holland,Holland,3,1,3,6,0.333,6,0,1,1,2,9,1.89,0.778,1,2,2,0,5,1.8,4,2,6,0.333,0,1,1,4,6,3,2,0,0,0
2023-2024,2024-02-10,Crandall,Holland,Holland,4,1,12,5,0.706,5,1,0.833,3,2,17,2,0.882,2,3,0,0,5,2.4,9,1,19,0.421,1,0,1,8,18,9,1,4,0,0
2023-2024,2024-02-10,Crandall,Holland,Holland,5,1,11,4,0.733,4,2,0.667,3,3,15,2.27,0.8,1,4,0,0,5,2.2,6,2,15,0.267,1,1,2,6,14,9,1,0,0,0
2023-2024,2024-02-10,Crandall,Holland,Holland,6,1,1,4,0.2,4,3,0.571,0,2,5,1,0.6,2,1,2,0,5,2,2,0,7,0.286,0,1,1,2,7,3,3,1,0,1
2023-2024,2024-02-11,UNBSJ,Crandall,Crandall,1,1,7,8,0.467,9,11,0.45,1,2,15,1.93,0.867,7,6,3,1,17,2.12,7,9,29,-0.069,1,0,1,7,28,11,3,0,0,0
2023-2024,2024-02-11,UNBSJ,Crandall,Crandall,2,1,4,9,0.308,9,10,0.474,1,3,13,1.38,0.769,9,1,5,2,17,2,7,5,22,0.091,0,0,0,7,21,9,5,1,0,0
2023-2024,2024-02-11,UNBSJ,Crandall,Crandall,3,1,12,8,0.6,8,8,0.5,5,3,20,2.35,0.85,10,2,2,0,14,2.57,6,9,26,-0.115,0,1,1,6,26,7,3,3,0,0
2023-2024,2024-02-11,UNBSJ,Crandall,Crandall,4,1,1,8,0.111,8,8,0.5,0,3,9,0.89,0.667,6,3,1,1,11,2.27,1,1,10,0,0,1,1,1,10,3,1,0,0,2
2023-2024,2024-02-11,UNBSJ,Crandall,Crandall,5,1,1,8,0.111,8,9,0.471,0,3,9,1.67,0.667,1,6,3,4,14,1.29,5,4,13,0.077,0,0,0,4,12,3,2,0,0,0
2023-2024,2024-02-11,UNBSJ,Crandall,Crandall,6,1,7,8,0.467,6,5,0.545,2,2,15,1.8,0.867,2,2,3,0,7,1.86,4,4,17,0,2,0,2,4,17,10,3,2,0,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,1,1,9,7,0.563,9,7,0.563,1,3,16,1.69,0.813,5,3,3,1,12,2,5,3,20,0.1,1,1,2,5,20,8,1,3,0,1
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,2,1,8,9,0.471,9,7,0.563,1,3,17,1.47,0.824,5,2,6,2,15,1.67,10,3,21,0.333,0,2,2,10,21,8,3,2,0,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,3,1,6,9,0.4,8,8,0.5,1,1,15,1.73,0.933,5,2,2,3,12,1.75,5,6,18,-0.056,1,0,1,5,17,6,2,5,0,1
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,4,1,10,8,0.556,8,0,1,1,4,18,1.33,0.778,2,1,2,0,5,2,5,3,13,0.154,0,1,1,4,11,5,0,1,0,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,5,1,11,8,0.579,8,5,0.615,2,4,19,1.68,0.789,3,3,3,2,11,1.64,8,1,16,0.438,0,2,2,8,16,5,0,2,0,0
2023-2024,2024-02-11,UNBSJ,Crandall,UNBSJ,6,1,7,7,0.5,7,5,0.583,2,4,14,1.71,0.714,3,3,3,1,10,1.8,8,3,19,0.263,1,1,2,8,18,8,2,1,0,0
2023-2024,2024-02-17,Crandall,USTA,Crandall,1,1,4,8,0.333,8,10,0.444,0,3,12,1.67,0.75,4,9,2,0,15,2.13,6,5,27,0.037,1,0,1,6,27,13,3,2,0,1
2023-2024,2024-02-17,Crandall,USTA,Crandall,2,1,7,8,0.467,8,3,0.727,3,2,15,2.07,0.867,1,1,2,2,6,1.17,5,0,9,0.556,0,0,0,5,8,5,2,1,0,0
2023-2024,2024-02-17,Crandall,USTA,Crandall,3,1,4,8,0.333,7,3,0.7,2,4,12,1.33,0.667,3,4,2,0,9,2.11,6,0,13,0.462,0,0,0,5,12,5,1,0,0,1
2023-2024,2024-02-17,Crandall,USTA,Crandall,4,1,4,7,0.364,7,3,0.7,1,2,11,1.64,0.818,3,3,1,0,7,2.29,5,2,11,0.273,0,1,1,4,10,3,0,1,1,0
2023-2024,2024-02-17,Crandall,USTA,Crandall,5,1,2,7,0.222,7,6,0.538,0,3,9,1.33,0.667,7,2,1,2,12,2.17,3,4,15,-0.067,0,2,2,3,14,2,1,1,0,0
2023-2024,2024-02-17,Crandall,USTA,Crandall,6,1,2,7,0.222,6,10,0.375,1,3,9,1.33,0.667,2,4,3,4,13,1.31,0,3,13,-0.231,0,0,0,0,13,5,3,0,0,0
2023-2024,2024-02-17,Crandall,USTA,USTA,1,1,8,7,0.533,9,5,0.643,1,4,15,1.53,0.733,2,6,2,1,11,1.82,10,5,26,0.192,0,0,0,9,24,10,0,3,0,0
2023-2024,2024-02-17,Crandall,USTA,USTA,2,1,12,8,0.6,8,8,0.5,2,2,20,2,0.9,3,4,2,3,12,1.58,8,1,25,0.28,1,1,2,8,25,16,4,3,0,1
2023-2024,2024-02-17,Crandall,USTA,USTA,3,1,1,7,0.125,7,3,0.7,0,4,8,1.25,0.5,4,1,2,1,8,2,4,2,8,0.25,0,0,0,4,8,2,2,1,0,0
2023-2024,2024-02-17,Crandall,USTA,USTA,4,1,2,7,0.222,7,4,0.636,0,2,9,1.22,0.778,4,2,1,1,8,2.13,5,3,14,0.143,0,0,0,5,14,8,1,0,0,0
2023-2024,2024-02-17,Crandall,USTA,USTA,5,1,7,7,0.5,7,1,0.875,0,2,14,1.29,0.857,2,2,1,0,5,2.2,6,2,8,0.5,0,0,0,6,8,5,2,0,0,0
2023-2024,2024-02-17,Crandall,USTA,USTA,6,1,5,7,0.417,7,2,0.778,5,2,12,2.42,0.833,2,2,2,1,7,1.71,5,4,12,0.083,0,0,0,5,11,3,0,0,0,0
