Season,Date,TEAM,Setter Tendency,Position,A Att,A %,H %
2023-2024,2023-11-03,CU,Overall,1,4,50.0%,25.0%
2023-2024,2023-11-03,CU,Overall,2,29,28.0%,6.9%
2023-2024,2023-11-03,CU,Overall,3,15,40.0%,0.0%
2023-2024,2023-11-03,CU,Overall,4,48,44.0%,14.6%
2023-2024,2023-11-03,CU,Overall,5,1,100.0%,100.0%
2023-2024,2023-11-03,CU,Overall,6,2,50.0%,50.0%
2023-2024,2023-11-03,CU,First Ball,1,2,50.0%,0.0%
2023-2024,2023-11-03,CU,First Ball,2,17,35.0%,11.8%
2023-2024,2023-11-03,CU,First Ball,3,11,45.0%,18.2%
2023-2024,2023-11-03,CU,First Ball,4,30,43.0%,13.3%
2023-2024,2023-11-03,CU,First Ball,5,0,0.0%,0.0%
2023-2024,2023-11-03,CU,First Ball,6,1,0.0%,0.0%
2023-2024,2023-11-03,CU,Transition,1,2,50.0%,50.0%
2023-2024,2023-11-03,CU,Transition,2,12,17.0%,0.0%
2023-2024,2023-11-03,CU,Transition,3,4,25.0%,-50.0%
2023-2024,2023-11-03,CU,Transition,4,18,44.0%,16.7%
2023-2024,2023-11-03,CU,Transition,5,1,100.0%,100.0%
2023-2024,2023-11-03,CU,Transition,6,1,100.0%,100.0%
2023-2024,2023-11-03,UNBSJ,Overall,1,1,0.0%,-100.0%
2023-2024,2023-11-03,UNBSJ,Overall,2,13,69.0%,53.8%
2023-2024,2023-11-03,UNBSJ,Overall,3,5,60.0%,40.0%
2023-2024,2023-11-03,UNBSJ,Overall,4,30,63.0%,53.3%
2023-2024,2023-11-03,UNBSJ,Overall,5,2,0.0%,-50.0%
2023-2024,2023-11-03,UNBSJ,Overall,6,1,100.0%,100.0%
2023-2024,2023-11-03,UNBSJ,First Ball,1,0,0.0%,0.0%
2023-2024,2023-11-03,UNBSJ,First Ball,2,6,67.0%,50.0%
2023-2024,2023-11-03,UNBSJ,First Ball,3,1,0.0%,-100.0%
2023-2024,2023-11-03,UNBSJ,First Ball,4,18,67.0%,61.1%
2023-2024,2023-11-03,UNBSJ,First Ball,5,1,0.0%,0.0%
2023-2024,2023-11-03,UNBSJ,First Ball,6,1,100.0%,100.0%
2023-2024,2023-11-03,UNBSJ,Transition,1,1,0.0%,-100.0%
2023-2024,2023-11-03,UNBSJ,Transition,2,7,71.0%,57.1%
2023-2024,2023-11-03,UNBSJ,Transition,3,4,75.0%,75.0%
2023-2024,2023-11-03,UNBSJ,Transition,4,12,58.0%,41.7%
2023-2024,2023-11-03,UNBSJ,Transition,5,1,0.0%,-100.0%
2023-2024,2023-11-03,UNBSJ,Transition,6,0,0.0%,0.0%
2023-2024,2023-11-04,CU,Overall,1,1,0.0%,-100.0%
2023-2024,2023-11-04,CU,Overall,2,9,67.0%,33.3%
2023-2024,2023-11-04,CU,Overall,3,14,29.0%,0.0%
2023-2024,2023-11-04,CU,Overall,4,19,37.0%,10.5%
2023-2024,2023-11-04,CU,Overall,5,0,0.0%,0.0%
2023-2024,2023-11-04,CU,Overall,6,4,25.0%,-25.0%
2023-2024,2023-11-04,CU,First Ball,1,1,0.0%,-100.0%
2023-2024,2023-11-04,CU,First Ball,2,6,67.0%,33.3%
2023-2024,2023-11-04,CU,First Ball,3,10,40.0%,10.0%
2023-2024,2023-11-04,CU,First Ball,4,15,40.0%,13.3%
2023-2024,2023-11-04,CU,First Ball,5,0,0.0%,0.0%
2023-2024,2023-11-04,CU,First Ball,6,1,100.0%,100.0%
2023-2024,2023-11-04,CU,Transition,1,0,0.0%,0.0%
2023-2024,2023-11-04,CU,Transition,2,3,67.0%,33.3%
2023-2024,2023-11-04,CU,Transition,3,4,0.0%,-25.0%
2023-2024,2023-11-04,CU,Transition,4,4,25.0%,0.0%
2023-2024,2023-11-04,CU,Transition,5,0,0.0%,0.0%
2023-2024,2023-11-04,CU,Transition,6,3,0.0%,-66.7%
2023-2024,2023-11-04,STU,Overall,1,2,0.0%,-100.0%
2023-2024,2023-11-04,STU,Overall,2,14,71.0%,64.3%
2023-2024,2023-11-04,STU,Overall,3,18,61.0%,61.1%
2023-2024,2023-11-04,STU,Overall,4,29,48.0%,34.5%
2023-2024,2023-11-04,STU,Overall,5,1,0.0%,0.0%
2023-2024,2023-11-04,STU,Overall,6,1,0.0%,0.0%
2023-2024,2023-11-04,STU,First Ball,1,0,0.0%,0.0%
2023-2024,2023-11-04,STU,First Ball,2,8,100.0%,100.0%
2023-2024,2023-11-04,STU,First Ball,3,10,60.0%,60.0%
2023-2024,2023-11-04,STU,First Ball,4,18,44.0%,27.8%
2023-2024,2023-11-04,STU,First Ball,5,0,0.0%,0.0%
2023-2024,2023-11-04,STU,First Ball,6,1,0.0%,0.0%
2023-2024,2023-11-04,STU,Transition,1,2,0.0%,-100.0%
2023-2024,2023-11-04,STU,Transition,2,6,33.3%,16.7%
2023-2024,2023-11-04,STU,Transition,3,8,63.0%,62.5%
2023-2024,2023-11-04,STU,Transition,4,11,55.0%,45.5%
2023-2024,2023-11-04,STU,Transition,5,1,0.0%,0.0%
2023-2024,2023-11-04,STU,Transition,6,0,0.0%,0.0%
2023-2024,2023-11-11,CU,Overall,1,0,0.0%,0.0%
2023-2024,2023-11-11,CU,Overall,2,19,42.0%,26.3%
2023-2024,2023-11-11,CU,Overall,3,5,60.0%,40.0%
2023-2024,2023-11-11,CU,Overall,4,28,39.0%,10.7%
2023-2024,2023-11-11,CU,Overall,5,4,0.0%,-25.0%
2023-2024,2023-11-11,CU,Overall,6,3,0.0%,-33.3%
2023-2024,2023-11-11,CU,First Ball,1,0,0.0%,0.0%
2023-2024,2023-11-11,CU,First Ball,2,14,43.0%,28.6%
2023-2024,2023-11-11,CU,First Ball,3,3,67.0%,66.7%
2023-2024,2023-11-11,CU,First Ball,4,20,40.0%,10.0%
2023-2024,2023-11-11,CU,First Ball,5,3,0.0%,-33.3%
2023-2024,2023-11-11,CU,First Ball,6,2,0.0%,-50.0%
2023-2024,2023-11-11,CU,Transition,1,0,0.0%,0.0%
2023-2024,2023-11-11,CU,Transition,2,5,40.0%,20.0%
2023-2024,2023-11-11,CU,Transition,3,2,50.0%,0.0%
2023-2024,2023-11-11,CU,Transition,4,8,38.0%,12.5%
2023-2024,2023-11-11,CU,Transition,5,1,0.0%,0.0%
2023-2024,2023-11-11,CU,Transition,6,1,0.0%,0.0%
2023-2024,2023-11-11,USTA,Overall,1,1,100.0%,100.0%
2023-2024,2023-11-11,USTA,Overall,2,18,44.0%,16.7%
2023-2024,2023-11-11,USTA,Overall,3,21,67.0%,61.9%
2023-2024,2023-11-11,USTA,Overall,4,25,40.0%,20.0%
2023-2024,2023-11-11,USTA,Overall,5,0,0.0%,0.0%
2023-2024,2023-11-11,USTA,Overall,6,2,50.0%,50.0%
2023-2024,2023-11-11,USTA,First Ball,1,1,100.0%,100.0%
2023-2024,2023-11-11,USTA,First Ball,2,9,44.0%,22.2%
2023-2024,2023-11-11,USTA,First Ball,3,13,69.0%,69.2%
2023-2024,2023-11-11,USTA,First Ball,4,17,35.0%,11.8%
2023-2024,2023-11-11,USTA,First Ball,5,0,0.0%,0.0%
2023-2024,2023-11-11,USTA,First Ball,6,1,100.0%,100.0%
2023-2024,2023-11-11,USTA,Transition,1,0,0.0%,0.0%
2023-2024,2023-11-11,USTA,Transition,2,9,44.0%,11.1%
2023-2024,2023-11-11,USTA,Transition,3,8,63.0%,50.0%
2023-2024,2023-11-11,USTA,Transition,4,8,50.0%,37.5%
2023-2024,2023-11-11,USTA,Transition,5,0,0.0%,0.0%
2023-2024,2023-11-11,USTA,Transition,6,1,0.0%,0.0%
2023-2024,2023-11-12,CU,Overall,1,,,
2023-2024,2023-11-12,CU,Overall,2,,,
2023-2024,2023-11-12,CU,Overall,3,,,
2023-2024,2023-11-12,CU,Overall,4,,,
2023-2024,2023-11-12,CU,Overall,5,,,
2023-2024,2023-11-12,CU,Overall,6,,,
2023-2024,2023-11-12,CU,First Ball,1,,,
2023-2024,2023-11-12,CU,First Ball,2,,,
2023-2024,2023-11-12,CU,First Ball,3,,,
2023-2024,2023-11-12,CU,First Ball,4,,,
2023-2024,2023-11-12,CU,First Ball,5,,,
2023-2024,2023-11-12,CU,First Ball,6,,,
2023-2024,2023-11-12,CU,Transition,1,,,
2023-2024,2023-11-12,CU,Transition,2,,,
2023-2024,2023-11-12,CU,Transition,3,,,
2023-2024,2023-11-12,CU,Transition,4,,,
2023-2024,2023-11-12,CU,Transition,5,,,
2023-2024,2023-11-12,CU,Transition,6,,,
2023-2024,2023-11-12,STU,Overall,1,,,
2023-2024,2023-11-12,STU,Overall,2,,,
2023-2024,2023-11-12,STU,Overall,3,,,
2023-2024,2023-11-12,STU,Overall,4,,,
2023-2024,2023-11-12,STU,Overall,5,,,
2023-2024,2023-11-12,STU,Overall,6,,,
2023-2024,2023-11-12,STU,First Ball,1,,,
2023-2024,2023-11-12,STU,First Ball,2,,,
2023-2024,2023-11-12,STU,First Ball,3,,,
2023-2024,2023-11-12,STU,First Ball,4,,,
2023-2024,2023-11-12,STU,First Ball,5,,,
2023-2024,2023-11-12,STU,First Ball,6,,,
2023-2024,2023-11-12,STU,Transition,1,,,
2023-2024,2023-11-12,STU,Transition,2,,,
2023-2024,2023-11-12,STU,Transition,3,,,
2023-2024,2023-11-12,STU,Transition,4,,,
2023-2024,2023-11-12,STU,Transition,5,,,
2023-2024,2023-11-12,STU,Transition,6,,,
2023-2024,2023-11-24,CU,Overall,1,0,0.0%,0.0%
2023-2024,2023-11-24,CU,Overall,2,19,42.0%,26.3%
2023-2024,2023-11-24,CU,Overall,3,5,60.0%,40.0%
2023-2024,2023-11-24,CU,Overall,4,28,39.0%,10.7%
2023-2024,2023-11-24,CU,Overall,5,4,0.0%,-25.0%
2023-2024,2023-11-24,CU,Overall,6,3,0.0%,-33.3%
2023-2024,2023-11-24,CU,First Ball,1,0,0.0%,0.0%
2023-2024,2023-11-24,CU,First Ball,2,14,43.0%,28.6%
2023-2024,2023-11-24,CU,First Ball,3,3,67.0%,66.7%
2023-2024,2023-11-24,CU,First Ball,4,20,40.0%,10.0%
2023-2024,2023-11-24,CU,First Ball,5,3,0.0%,-33.3%
2023-2024,2023-11-24,CU,First Ball,6,2,0.0%,-50.0%
2023-2024,2023-11-24,CU,Transition,1,0,0.0%,0.0%
2023-2024,2023-11-24,CU,Transition,2,5,40.0%,20.0%
2023-2024,2023-11-24,CU,Transition,3,2,50.0%,0.0%
2023-2024,2023-11-24,CU,Transition,4,8,38.0%,12.5%
2023-2024,2023-11-24,CU,Transition,5,1,0.0%,0.0%
2023-2024,2023-11-24,CU,Transition,6,1,0.0%,0.0%
2023-2024,2023-11-24,Holland,Overall,1,1,100.0%,100.0%
2023-2024,2023-11-24,Holland,Overall,2,18,44.0%,16.7%
2023-2024,2023-11-24,Holland,Overall,3,21,67.0%,61.9%
2023-2024,2023-11-24,Holland,Overall,4,25,40.0%,20.0%
2023-2024,2023-11-24,Holland,Overall,5,0,0.0%,0.0%
2023-2024,2023-11-24,Holland,Overall,6,2,50.0%,50.0%
2023-2024,2023-11-24,Holland,First Ball,1,1,100.0%,100.0%
2023-2024,2023-11-24,Holland,First Ball,2,9,44.0%,22.2%
2023-2024,2023-11-24,Holland,First Ball,3,13,69.0%,69.2%
2023-2024,2023-11-24,Holland,First Ball,4,17,35.0%,11.8%
2023-2024,2023-11-24,Holland,First Ball,5,0,0.0%,0.0%
2023-2024,2023-11-24,Holland,First Ball,6,1,100.0%,100.0%
2023-2024,2023-11-24,Holland,Transition,1,0,0.0%,0.0%
2023-2024,2023-11-24,Holland,Transition,2,9,44.0%,11.1%
2023-2024,2023-11-24,Holland,Transition,3,8,63.0%,50.0%
2023-2024,2023-11-24,Holland,Transition,4,8,50.0%,37.5%
2023-2024,2023-11-24,Holland,Transition,5,0,0.0%,0.0%
2023-2024,2023-11-24,Holland,Transition,6,1,0.0%,0.0%
2023-2024,2023-11-26,CU,Overall,1,,,
2023-2024,2023-11-26,CU,Overall,2,,,
2023-2024,2023-11-26,CU,Overall,3,,,
2023-2024,2023-11-26,CU,Overall,4,,,
2023-2024,2023-11-26,CU,Overall,5,,,
2023-2024,2023-11-26,CU,Overall,6,,,
2023-2024,2023-11-26,CU,First Ball,1,,,
2023-2024,2023-11-26,CU,First Ball,2,,,
2023-2024,2023-11-26,CU,First Ball,3,,,
2023-2024,2023-11-26,CU,First Ball,4,,,
2023-2024,2023-11-26,CU,First Ball,5,,,
2023-2024,2023-11-26,CU,First Ball,6,,,
2023-2024,2023-11-26,CU,Transition,1,,,
2023-2024,2023-11-26,CU,Transition,2,,,
2023-2024,2023-11-26,CU,Transition,3,,,
2023-2024,2023-11-26,CU,Transition,4,,,
2023-2024,2023-11-26,CU,Transition,5,,,
2023-2024,2023-11-26,CU,Transition,6,,,
2023-2024,2023-11-26,UNBSJ,Overall,1,,,
2023-2024,2023-11-26,UNBSJ,Overall,2,,,
2023-2024,2023-11-26,UNBSJ,Overall,3,,,
2023-2024,2023-11-26,UNBSJ,Overall,4,,,
2023-2024,2023-11-26,UNBSJ,Overall,5,,,
2023-2024,2023-11-26,UNBSJ,Overall,6,,,
2023-2024,2023-11-26,UNBSJ,First Ball,1,,,
2023-2024,2023-11-26,UNBSJ,First Ball,2,,,
2023-2024,2023-11-26,UNBSJ,First Ball,3,,,
2023-2024,2023-11-26,UNBSJ,First Ball,4,,,
2023-2024,2023-11-26,UNBSJ,First Ball,5,,,
2023-2024,2023-11-26,UNBSJ,First Ball,6,,,
2023-2024,2023-11-26,UNBSJ,Transition,1,,,
2023-2024,2023-11-26,UNBSJ,Transition,2,,,
2023-2024,2023-11-26,UNBSJ,Transition,3,,,
2023-2024,2023-11-26,UNBSJ,Transition,4,,,
2023-2024,2023-11-26,UNBSJ,Transition,5,,,
2023-2024,2023-11-26,UNBSJ,Transition,6,,,
2023-2024,2023-12-02,CU,Overall,1,4,25.0%,25.0%
2023-2024,2023-12-02,CU,Overall,2,17,6.0%,-23.5%
2023-2024,2023-12-02,CU,Overall,3,10,30.0%,-10.0%
2023-2024,2023-12-02,CU,Overall,4,34,32.0%,14.7%
2023-2024,2023-12-02,CU,Overall,5,1,0.0%,0.0%
2023-2024,2023-12-02,CU,Overall,6,5,20.0%,0.0%
2023-2024,2023-12-02,CU,First Ball,1,2,0.0%,0.0%
2023-2024,2023-12-02,CU,First Ball,2,12,8.0%,-16.7%
2023-2024,2023-12-02,CU,First Ball,3,9,33.0%,-11.1%
2023-2024,2023-12-02,CU,First Ball,4,23,30.0%,13.0%
2023-2024,2023-12-02,CU,First Ball,5,1,0.0%,0.0%
2023-2024,2023-12-02,CU,First Ball,6,2,50.0%,50.0%
2023-2024,2023-12-02,CU,Transition,1,2,50.0%,50.0%
2023-2024,2023-12-02,CU,Transition,2,5,0.0%,-40.0%
2023-2024,2023-12-02,CU,Transition,3,1,0.0%,0.0%
2023-2024,2023-12-02,CU,Transition,4,11,36.0%,18.2%
2023-2024,2023-12-02,CU,Transition,5,0,0.0%,0.0%
2023-2024,2023-12-02,CU,Transition,6,3,0.0%,0.0%
2023-2024,2023-12-02,Holland,Overall,1,3,33.0%,0.0%
2023-2024,2023-12-02,Holland,Overall,2,16,50.0%,43.8%
2023-2024,2023-12-02,Holland,Overall,3,16,56.0%,43.8%
2023-2024,2023-12-02,Holland,Overall,4,20,40.0%,15.0%
2023-2024,2023-12-02,Holland,Overall,5,0,0.0%,0.0%
2023-2024,2023-12-02,Holland,Overall,6,1,100.0%,100.0%
2023-2024,2023-12-02,Holland,First Ball,1,1,100.0%,100.0%
2023-2024,2023-12-02,Holland,First Ball,2,3,67.0%,66.7%
2023-2024,2023-12-02,Holland,First Ball,3,10,60.0%,50.0%
2023-2024,2023-12-02,Holland,First Ball,4,8,38.0%,-12.5%
2023-2024,2023-12-02,Holland,First Ball,5,0,0.0%,0.0%
2023-2024,2023-12-02,Holland,First Ball,6,0,0.0%,0.0%
2023-2024,2023-12-02,Holland,Transition,1,2,0.0%,-50.0%
2023-2024,2023-12-02,Holland,Transition,2,13,46.0%,38.5%
2023-2024,2023-12-02,Holland,Transition,3,6,50.0%,33.3%
2023-2024,2023-12-02,Holland,Transition,4,12,42.0%,33.3%
2023-2024,2023-12-02,Holland,Transition,5,0,0.0%,0.0%
2023-2024,2023-12-02,Holland,Transition,6,1,100.0%,100.0%
2023-2024,2024-01-14,CU,Overall,1,4,25.0%,0.0%
2023-2024,2024-01-14,CU,Overall,2,21,43.0%,14.3%
2023-2024,2024-01-14,CU,Overall,3,15,47.0%,40.0%
2023-2024,2024-01-14,CU,Overall,4,42,29.0%,7.1%
2023-2024,2024-01-14,CU,Overall,5,2,0.0%,0.0%
2023-2024,2024-01-14,CU,Overall,6,6,33.3%,16.7%
2023-2024,2024-01-14,CU,First Ball,1,1,100.0%,100.0%
2023-2024,2024-01-14,CU,First Ball,2,16,44.0%,12.5%
2023-2024,2024-01-14,CU,First Ball,3,9,44.0%,33.3%
2023-2024,2024-01-14,CU,First Ball,4,26,31.0%,11.5%
2023-2024,2024-01-14,CU,First Ball,5,2,0.0%,0.0%
2023-2024,2024-01-14,CU,First Ball,6,4,25.0%,0.0%
2023-2024,2024-01-14,CU,Transition,1,3,0.0%,33.3%
2023-2024,2024-01-14,CU,Transition,2,5,40.0%,20.0%
2023-2024,2024-01-14,CU,Transition,3,6,50.0%,50.0%
2023-2024,2024-01-14,CU,Transition,4,16,25.0%,0.0%
2023-2024,2024-01-14,CU,Transition,5,0,0.0%,0.0%
2023-2024,2024-01-14,CU,Transition,6,2,50.0%,50.0%
2023-2024,2024-01-14,UNBSJ,Overall,1,2,50.0%,50.0%
2023-2024,2024-01-14,UNBSJ,Overall,2,23,48.0%,34.8%
2023-2024,2024-01-14,UNBSJ,Overall,3,12,50.0%,33.3%
2023-2024,2024-01-14,UNBSJ,Overall,4,44,45.0%,31.8%
2023-2024,2024-01-14,UNBSJ,Overall,5,0,0.0%,0.0%
2023-2024,2024-01-14,UNBSJ,Overall,6,2,100.0%,100.0%
2023-2024,2024-01-14,UNBSJ,First Ball,1,1,100.0%,100.0%
2023-2024,2024-01-14,UNBSJ,First Ball,2,14,57.0%,50.0%
2023-2024,2024-01-14,UNBSJ,First Ball,3,3,33.0%,0.0%
2023-2024,2024-01-14,UNBSJ,First Ball,4,24,42.0%,29.2%
2023-2024,2024-01-14,UNBSJ,First Ball,5,0,0.0%,0.0%
2023-2024,2024-01-14,UNBSJ,First Ball,6,0,0.0%,0.0%
2023-2024,2024-01-14,UNBSJ,Transition,1,1,0.0%,0.0%
2023-2024,2024-01-14,UNBSJ,Transition,2,9,33.0%,11.1%
2023-2024,2024-01-14,UNBSJ,Transition,3,9,56.0%,44.4%
2023-2024,2024-01-14,UNBSJ,Transition,4,20,50.0%,35.0%
2023-2024,2024-01-14,UNBSJ,Transition,5,0,0.0%,0.0%
2023-2024,2024-01-14,UNBSJ,Transition,6,2,100.0%,100.0%
2023-2024,2024-01-20,CU,Overall,1,4,0.0%,-75.0%
2023-2024,2024-01-20,CU,Overall,2,12,42.0%,8.3%
2023-2024,2024-01-20,CU,Overall,3,13,15.0%,-23.1%
2023-2024,2024-01-20,CU,Overall,4,26,25.0%,0.0%
2023-2024,2024-01-20,CU,Overall,5,2,0.0%,-50.0%
2023-2024,2024-01-20,CU,Overall,6,12,8.0%,0.0%
2023-2024,2024-01-20,CU,First Ball,1,2,0.0%,-100.0%
2023-2024,2024-01-20,CU,First Ball,2,8,38.0%,12.5%
2023-2024,2024-01-20,CU,First Ball,3,8,13.0%,-25.0%
2023-2024,2024-01-20,CU,First Ball,4,18,33.3%,0.0%
2023-2024,2024-01-20,CU,First Ball,5,1,0.0%,0.0%
2023-2024,2024-01-20,CU,First Ball,6,6,0.0%,0.0%
2023-2024,2024-01-20,CU,Transition,1,2,0.0%,-50.0%
2023-2024,2024-01-20,CU,Transition,2,4,50.0%,0.0%
2023-2024,2024-01-20,CU,Transition,3,5,20.0%,-20.0%
2023-2024,2024-01-20,CU,Transition,4,8,38.0%,0.0%
2023-2024,2024-01-20,CU,Transition,5,1,0.0%,-100.0%
2023-2024,2024-01-20,CU,Transition,6,6,17.0%,0.0%
2023-2024,2024-01-20,STU,Overall,1,3,33.0%,33.3%
2023-2024,2024-01-20,STU,Overall,2,10,40.0%,10.0%
2023-2024,2024-01-20,STU,Overall,3,13,46.0%,46.2%
2023-2024,2024-01-20,STU,Overall,4,21,29.0%,14.3%
2023-2024,2024-01-20,STU,Overall,5,0,0.0%,0.0%
2023-2024,2024-01-20,STU,Overall,6,2,50.0%,50.0%
2023-2024,2024-01-20,STU,First Ball,1,1,0.0%,0.0%
2023-2024,2024-01-20,STU,First Ball,2,3,67.0%,33.3%
2023-2024,2024-01-20,STU,First Ball,3,7,43.0%,42.9%
2023-2024,2024-01-20,STU,First Ball,4,12,25.0%,8.3%
2023-2024,2024-01-20,STU,First Ball,5,0,0.0%,0.0%
2023-2024,2024-01-20,STU,First Ball,6,0,0.0%,0.0%
2023-2024,2024-01-20,STU,Transition,1,2,50.0%,50.0%
2023-2024,2024-01-20,STU,Transition,2,7,29.0%,0.0%
2023-2024,2024-01-20,STU,Transition,3,6,50.0%,50.0%
